Classification ID,Classification Name
31302,Herbs(dried)  and spices 
31301,Salt
31303,Stock cubes and seasonings 
31501,Chemical raising agents and cooking ingredients 
31502,Gelatine 
12103,Cereal flours and starches
24102,Potato products 
31401,Essences
31101,Yeast
29101,"Beers, > 3.5% alcohol "
29102,"Beers, 1.15- 3.5% alcohol, reduced alcohol / light "
29301,Spirits 
29401,Cider
29201,"Wines, red (including sparkling varieties and rose styles)"
29202,"Wines, white (including sparkling varieties)"
29203,Fortified wines 
11804,Unfortified dry beverage flavourings
11802,Fortified dry beverage flavourings
11801,Fortified beverage flavourings prepared with water or milk
11803,Unfortified beverage flavourings prepared with water or milk
11205,"Dry coffee powder, caffeinated or decaffeinated"
11201,"Coffee beverage, prepared with water"
11203,"Coffee beverage, decaffeinated, prepared with water"
11202,"Coffee beverage, prepared with milk or milk substitute"
11403,Cordial concentrate 
11401,"Cordials, made from concentrate"
11307,Fruit drinks (ready to drink or made from concentrate)
11301,"Fruit juices, commercially prepared"
11702,Purchased packaged water including mineral water
11505,Flavoured mineral waters 
11503,"Soft drinks, cola"
11504,"Soft drinks, cola, intense sweetened"
11603,Energy drinks
11501,"Soft drinks, non-cola "
11502,"Soft drinks, non-cola, intense sweetened "
11101,"Tea, regular, caffeinated, prepared with water"
11103,"Tea, regular, decaffeinated, prepared with water or milk"
11701,"Domestic water (including tap, tank/rain water)"
13204,"Savoury biscuits, rice based (includes rice cakes)"
13202,"Savoury biscuits, wheat based, plain, energy >1800 kJ per 100 g"
13201,"Savoury biscuits, wheat based, plain, energy ≤1800 kJ per 100 g"
13101,"Sweet biscuits, plain or flavoured including short bread varieties"
13106,"Sweet biscuits, chocolate-coated, chocolate or cream filled"
13105,"Sweet biscuits, chocolate-coated, chocolate chip "
13104,"Sweet biscuits, cream-filled "
12201,"Breads, and bread rolls, white, mandatorily fortified"
12203,"Breads, and bread rolls, white, not stated as to fortification"
12302,"Flat breads (e.g. Pita bread), wheat based"
12202,"Breads, and bread rolls, white, additional voluntary fortification"
12304,Savoury filled or topped breads and bread rolls
12207,"Breads, and bread rolls, wholemeal and brown, mandatorily fortified "
12204,"Breads, and bread rolls, mixed grain, mandatorily fortified "
12305,"Sweet breads, buns and scrolls, uniced, unfilled"
12307,Fried bread products and garlic breads
12213,"Breads, and bread rolls, gluten free"
12210,"Breads, and bread rolls, rye, mandatorily fortified "
12306,"Sweet breads, buns and scrolls, iced and/or filled"
