Public Food Key,Food Profile ID,Derivation,Name,Description,Scientific Name,Sampling details,Classification ID,"Energy, with dietary fibre (in kJ)","Energy, without dietary fibre (in kJ)",Moisture (water) (in g),Protein (in g),Nitrogen (in g),Total Fat (in g),Ash (in g),Total dietary fibre (in g),Alcohol (in g),Fructose (in g),Glucose (in g),Sucrose (in g),Maltose (in g),Lactose (in g),Galactose (in g),Maltotriose (in g),Total sugars (in g),Added sugars (in g),Free sugars (in g),Starch (in g),Dextrin (in g),Glycerol (in g),Glycogen (in g),Inulin (in g),Mannitol (in g),Maltodextrin (in g),Oligosaccharides (in g),Raffinose (in g),Stachyose (in g),Sorbitol (in g),Resistant starch (in g),"Available carbohydrate, without sugar alcohols (in g)","Available carbohydrate, with sugar alcohols (in g)",Acetic acid (in g),Citric acid (in g),Fumaric acid (in g),Lactic acid (in g),Malic acid (in g),Oxalic acid (in g),Propionic acid (in g),Quinic acid (in g),Succinic acid (in g),Tartaric acid (in g),Aluminium (Al) (in ug),Antimony (Sb) (in ug),Arsenic (As) (in ug),Cadmium (Cd) (in ug),Calcium (Ca) (in mg),Chromium (Cr) (in ug),Chloride (Cl) (in mg),Cobalt (Co) (in ug),Copper (Cu) (in mg),Fluoride (F) (in ug),Iodine (I) (in ug),Iron (Fe) (in mg),Lead (Pb) (in ug),Magnesium (Mg) (in mg),Manganese (Mn) (in mg),Mercury (Hg) (in ug),Molybdenum (Mo) (in ug),Nickel (Ni) (in ug),Phosphorus (P) (in mg),Potassium (K) (in mg),Selenium (Se) (in ug),Sodium (Na) (in mg),Sulphur (S) (in mg),Tin (Sn) (in ug),Zinc (Zn) (in mg),Retinol (preformed vitamin A) (in ug),Alpha-carotene (in ug),Beta-carotene (in ug),Cryptoxanthin (in ug),Beta-carotene equivalents (provitamin A) (in ug),Vitamin A retinol equivalents (in ug),Lutein (in ug),Lycopene (in ug),Xanthophyl (in ug),Thiamin (B1) (in mg),Riboflavin (B2) (in mg),Niacin (B3) (in mg),Niacin derived from tryptophan (in mg),Niacin derived equivalents (in mg),Pantothenic acid (B5) (in mg),Pyridoxine (B6) (in mg),Biotin (B7) (in ug),Cobalamin (B12) (in ug),"Folate, natural (in ug)",Folic acid (in ug),Total folates (in ug),Dietary folate equivalents (in ug),Vitamin C (in mg),Cholecalciferol (D3) (in ug),Ergocalciferol (D2) (in ug),25-hydroxy cholecalciferol (25-OH D3 (in ug),25-hydroxy ergocalciferol (25-OH D2) (in ug),Vitamin D3 equivalents (in ug),Alpha tocopherol (in mg),Alpha tocotrienol (in mg),Beta tocopherol (in mg),Beta tocotrienol (in mg),Delta tocopherol (in mg),Delta tocotrienol (in mg),Gamma tocopherol (in mg),Gamma tocotrienol (in mg),Vitamin E (in mg),C4 (in %),C4 (in g),C6 (in %),C6 (in g),C8 (in %),C8 (in g),C10 (in %),C10 (in g),C11 (in %),C11 (in g),C12 (in %),C12 (in g),C13 (in %),C13 (in g),C14 (in %),C14 (in g),C15 (in %),C15 (in g),C16 (in %),C16 (in g),C17 (in %),C17 (in g),C18 (in %),C18 (in g),C19 (in %),C19 (in g),C20 (in %),C20 (in g),C21 (in %),C21 (in g),C22 (in %),C22 (in g),C23 (in %),C23 (in g),C24 (in %),C24 (in g),Total saturated fatty acids (in %),Total saturated fatty acids (in g),C12:1 (in %),C12:1 (in g),C14:1 (in %),C14:1 (in g),C15:1 (in %),C15:1 (in g),C16:1 (in %),C16:1 (in g),C17:1 (in %),C17:1 (in g),C18:1 (in %),C18:1 (in g),C20:1 (in %),C20:1 (in g),C22:1 (in %),C22:1 (in g),C24:1 (in %),C24:1 (in g),Total monounsaturated fatty acids (in %),Total monounsaturated fatty acids (in g),C16:2w4 (in %),C16:2w4 (in mg),C16:3 (in %),C16:3 (in g),C18:2w6 (in %),C18:2w6 (in g),C18:3w3 (in %),C18:3w3 (in g),C18:3w4 (in %),C18:3w4 (in g),C18:3w6 (in %),C18:3w6 (in mg),C18:4w1 (in %),C18:4w1 (in g),C18:4w3 (in %),C18:4w3 (in mg),C20:2w6 (in %),C20:2w6 (in mg),C20:3w3 (in %),C20:3w3 (in mg),C20:3w6 (in %),C20:3w6 (in mg),C20:4w3 (in %),C20:4w3 (in mg),C20:4w6 (in %),C20:4w6 (in mg),C20:5w3 (in %),C20:5w3 (in mg),C22:2w6 (in %),C22:2w6 (in mg),C22:4w6 (in %),C22:4w6 (in mg),C22:5w3 (in %),C22:5w3 (in mg),C22:5w6 (in %),C22:5w6 (in g),C22:6w3 (in %),C22:6w3 (in mg),Other polyunsaturated fatty acids (in %),Other polyunsaturated fatty acids (in g),Total polyunsaturated fatty acids (in %),Total polyunsaturated fatty acids (in g),Total long chain omega 3 fatty acids (in %),Total long chain omega 3 fatty acids (in mg),Total undifferentiated fatty acids (in %),Total undifferentiated fatty acids (in mg),Total trans fatty acids (in %),Total trans fatty acids (in mg),Caffeine (in mg),Cholesterol (in mg),Tryptophan (in mg/g N),Tryptophan (in mg),Alanine (in mg/g N),Alanine (in mg),Arginine (in mg/g N),Arginine (in mg),Aspartic acid (in mg/g N),Aspartic acid (in mg),Cystine plus cysteine (in mg/g N),Cystine plus cysteine (in mg),Glutamic acid (in mg/g N),Glutamic acid (in mg),Glycine (in mg/g N),Glycine (in mg),Histidine (in mg/g N),Histidine (in mg),Isoleucine (in mg/g N),Isoleucine (in mg),Leucine (in mg/g N),Leucine (in mg),Lysine (in mg/g N),Lysine (in mg),Methionine (in mg/g N),Methionine (in mg),Phenylalanine (in mg/g N),Phenylalanine (in mg),Proline (in mg/g N),Proline (in mg),Serine (in mg/g N),Serine (in mg),Threonine (in mg/g N),Threonine (in mg),Tyrosine (in mg/g N),Tyrosine (in mg),Valine (in mg/g N),Valine (in mg),Product ID,Category ID,Health Star Rating
F002258,10995,Borrowed,"Cardamom seed, dried, ground","Ground spice commonly used in Indian cooking and drinks, in Middle Eastern cooking and in Scandinavian baking",Elettaria cardamom,"The majority of nutrient data were borrowed from USDA SR28, 02006 - Spices, cardamom. Proximates (starch, total sugars), vitamins (alpha-tocopherol, beta-carotene, folate) and Se were borrowed from Indian Food Composition Tables 2017, G020 - Cardamom, green. Dry matter adjustment was applied to starch and sugar. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), I, caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",31302,1236,1012,8.3,10.8,1.72,6.7,5.8,28.0,0.0,,,,,,,,4.4,0.0,0.0,30.0,,,,,,,,,,,,34.4,34.4,,,,,,,,,,,,,,,383,,,,,,0.0,13.97,,229,,,,,178,1119,11.7,18,,,7.47,0,,22,,22,4,,,,0.198,0.182,1.1,2.635,3.74,,0.23,,0.0,3,0,3,3,21,0.0,0,0.0,0,0.0,2.8,,,,,,,,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34,2.2,,,,,,,,,,,,,,,,,,,43.94,2.81,,,,,15.7,1.0,6.1,0.39,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,21.72,1.39,0.0,0.0,,,0.0,0.0,0,0,90.0,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002893,11014,Borrowed,"Chilli (chili), dried, ground","Dried and ground red pepper, characterised by a hot sensation when consumed as a spice.",Capsicum spp,"The majority of nutrient data was borrowed USDA SR28, 02009 - Spices, chili powder. Iodine was borrowed from NZ FOODfiles 2014, P28 - Spice, chilli powder. Alcohol, vitamins (B12, folic acid, retinol, C, D), caffeine and cholesterol were imputed zero.",31302,1280,1002,10.8,13.4,2.14,14.3,11.8,34.8,0.0,,,,,,,,7.2,0.0,0.0,7.7,,,,,,,,,,,,14.9,14.9,,,,,,,,,,,,,,,330,,,,,,2.3,17.3,,149,,,,,300,1950,20.4,2867,,,4.3,0,,15000,,15000,2500,,,,0.25,0.94,11.6,1.173,12.78,,2.09,,0.0,28,0,28,28,1,0.0,0,0.0,0,0.0,38.1,,,,,,,,38.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,2.06,,,,,,,,,,,,,,,,,,,23.47,2.68,,,,,54.6,6.24,3.9,0.45,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,58.53,6.69,0.0,0.0,,,0.0,0.0,0,0,33.0,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002963,10996,Borrowed,"Cinnamon, dried, ground","Dried and ground bark or quills of Cinnamomum verum, C. zeylanicum or C. aromaticum, used as a spice.","Cinnamomum verum, C zeylanicum or C. aromaticum","The majority of nutrient data were borrowed from USDA SR28, 02010 - Spices, cinnamon, ground. Iodine was borrowed from NZ FOODfiles 2014, P29 - Spice, cinnamon, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",31302,1004,579,10.6,4.0,0.64,1.2,3.6,53.1,0.0,,,,,,,,2.2,0.0,0.0,25.3,,,,,,,,,,,,27.5,27.5,,,,,,,,,,,,,,,1002,,,,,,0.1,8.32,,60,,,,,64,431,3.1,10,,,1.83,0,,112,,112,19,,,,0.022000000000000002,0.040999999999999995,1.33,0.8330000000000001,2.16,,0.16,,0.0,6,0,6,6,4,0.0,0,0.0,0,0.0,2.3,,,,,,,,2.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.35,0.62,,,,,,,,,,,,,,,,,,,37.33,0.44,,,,,6.7,0.08,1.7,0.02,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,1.97,0.02,10.32,0.12,0.0,0.0,,,0.0,0.0,0,0,77.0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002970,10997,Borrowed,"Cloves, dried, ground","Dried and ground, unopened flower buds of Syzygium aromaticum, used as a spice.",Syzygium aromaticum,"The majority of nutrient data were borrowed from USDA SR28, 02011 - Spices, cloves, ground. Iodine was borrowed from NZ FOODfiles 2014, P30 - Spice, cloves, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",31302,1389,1118,9.9,6.0,0.96,13.0,5.6,33.9,0.0,,,,,,,,2.4,0.0,0.0,29.2,,,,,,,,,,,,31.6,31.6,,,,,,,,,,,,,,,632,,,,,,50.7,11.83,,259,,,,,104,1020,7.2,277,,,2.32,0,,45,,45,8,,,,0.21600000000000003,0.22,1.56,0.51,2.0700000000000003,,0.39,,0.0,25,0,25,25,0,0.0,0,0.0,0,0.0,8.8,,,,,,,,8.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.15,5.49,,,,,,,,,,,,,,,,,,,15.56,1.93,,,,,29.7,3.69,6.5,0.81,,,,,,,,,,,,,,,,,,,0.1,11.06,,,,,2.1,255.52,,,0.0,0.0,2.09,0.26,40.45,5.03,2.145,266.58099999999996,,,0.0,0.0,0,0,31.0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003190,10998,Borrowed,"Coriander seed, dried, ground","Dried and ground fruit or seed of Coriandrum sativum, used as a spice.",Coriandrum sativum,"The majority of nutrient data were borrowed from USDA SR28, 02013 - Spices, coriander seed. Proximates (starch, total sugars) and vitamins (B6, alpha-tocopherol, beta-carotene) were borrowed from Indian FCDB 2011-13, G024 - Coriander seeds. Iodine was borrowed from NZ FOODfiles 2014, P32 - Seed, coriander. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",31302,1344,1009,8.9,12.4,1.98,17.8,6.0,41.9,0.0,,,,,,,,2.4,0.0,0.0,6.1,,,,,,,,,,,,8.4,8.4,,,,,,,,,,,,,,,709,,,,,,2.3,16.32,,330,,,,,409,1267,26.2,35,,,4.7,0,,122,,122,20,,,,0.239,0.29,2.13,3.026,5.16,,0.04,,0.0,0,0,0,0,21,0.0,0,0.0,0,0.0,0.9,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,1.03,,,,,,,,,,,,,,,,,,,83.21,14.14,,,,,10.7,1.82,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,10.72,1.82,0.0,0.0,,,0.0,0.0,0,0,90.0,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003327,10999,Borrowed,"Cumin (cummin) seed, dried, ground","Dried and ground fruit or seeds of Cuminum cymimum, used as a spice.",Cuminum cymimum,"The majority of nutrient data were borrowed from USDA SR28, 02014 - Spices, cumin seed. Iodine was borrowed from NZ FOODfiles 2014, P33 - Seed, cumin. Tryptophan was imputed from dried fenugreek seed. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",31302,1782,1698,8.1,17.8,2.85,22.3,7.6,10.5,0.0,,,,,,,,2.2,0.0,0.0,31.5,,,,,,,,,,,,33.7,33.7,,,,,,,,,,,,,,,931,,,,,,13.6,66.36,,366,,,,,499,1788,5.2,168,,,4.8,0,,762,,762,127,,,,0.628,0.327,4.58,4.3690000000000015,8.940000000000003,,0.44,,0.0,10,0,10,10,8,0.0,0,0.0,0,0.0,3.3,,,,,,,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,1.73,,,,,,,,,,,,,,,,,,,74.47,15.85,,,,,16.5,3.5,0.9,0.2,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,17.39,3.7,0.0,0.0,,,0.0,0.0,0,0,90.0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003337,11000,Borrowed,Curry powder,"Dried and ground mixture of spices for use in the preparation of Indian-style meals. Typical ingredients include the spices cumin, coriander seed and turmeric.",,"The majority of nutrient data were borrowed from USDA SR28, 02015 Spices, curry powder. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",31302,1231,805,8.8,14.3,2.29,14.0,7.1,53.2,0.0,,,,,,,,2.8,0.0,0.0,0.0,,,,,,,,,,,,2.8,2.8,,,,,,,,,,,,,,,525,,,,,,0.0,19.1,,255,,,,,367,1170,40.3,52,,,4.7,0,,11,,11,2,,,,0.17600000000000002,0.2,3.26,1.853,5.1099999999999985,,0.1,,0.0,56,0,56,56,1,0.0,0,0.0,0,0.0,25.2,,,,,,,,25.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22,1.64,,,,,,,,,,,,,,,,,,,65.12,8.72,,,,,20.7,2.77,1.9,0.25,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,22.56,3.02,0.0,0.0,,,0.0,0.0,0,0,48.0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003821,11001,Borrowed,"Fenugreek seed, dried",Dried fenugreek seeds used as a spice.,Trigonella foenum-graecum,"The majority of nutrient data were borrowed from USDA SR28, 02019 - Spices, fenugreek seed. Alpha-tocopherol, beta-carotene, proximates (starch, total sugars, fibre) and fatty acids were borrowed from Indian FCT G026 - Fenugreek seeds. Iodine was borrowed from NZ FOODfiles 2014, P37 - Seed, fenugreek. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",31302,1080,699,8.8,23.0,3.68,6.4,3.4,47.6,0.0,,,,,,,,0.6,0.0,0.0,3.7,,,,,,,,,,,,4.2,4.2,,,,,,,,,,,,,,,176,,,,,,2.3,33.53,,191,,,,,296,770,6.3,67,,,2.5,0,,142,,142,24,,,,0.322,0.366,1.64,5.644,7.2799999999999985,,0.6,,0.0,57,0,57,57,3,0.0,0,0.0,0,0.0,0.0,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.84,1.03,,,,,,,,,,,,,,,,,,,14.65,0.9,,,,,44.8,2.75,23.7,1.45,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,68.51,4.2,0.0,0.0,,,0.0,0.0,0,0,90.0,332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004210,11002,Borrowed,"Ginger, dried, ground","Dried and ground rhizome of Zingiber officinale, used as a spice.",Zingiber officinale,"The majority of nutrient data were borrowed from USDA SR28, 02021 Spices, ginger ground. Iodine was borrowed from NZ FOODfiles 2014, P4 - Spice, ginger, dried, ground. Alcohol, vitamins (B12, folic acid, retinol, D), caffeine and cholesterol were imputed zero.",31302,1397,1284,9.9,9.0,1.44,4.2,5.2,14.1,0.0,,,,,,,,3.4,0.0,0.0,54.1,,,,,,,,,,,,57.5,57.5,,,,,,,,,,,,,,,114,,,,,,12.4,19.8,,214,,,,,168,1320,55.8,27,,,3.64,0,,18,,18,3,,,,0.046,0.17,9.62,2.5839999999999996,12.2,,0.63,,0.0,13,0,13,13,1,0.0,0,0.0,0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.86,2.2,,,,,,,,,,,,,,,,,,,11.95,0.4,,,,,17.6,0.6,5.6,0.19,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,23.18,0.79,0.0,0.0,,,0.0,0.0,0,0,106.0,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F005972,11003,Analysed,Mustard powder,"Dry powder composed of ground yellow mustard seeds, for use in preparation of mustard paste or incorporation into other foods.",,"The majority of nutrient data were derived from a composite sample of 6 purchases (4x Keens, 2x McCormick) of mustard powder purchased in Adelaide in 1990. Folate, C, B6, alpha-tocopherol and tryptophan were borrowed from the USDA SR28, 02024 - Spices, mustard seed, ground. Fibre is estimated based on products available in 2012. Alcohol, vitamins (retinol, folic acid, B12, D), iodine, caffeine and cholesterol were imputed zero.",31302,2289,2249,4.3,29.4,4.71,39.5,3.4,5.0,0.0,0.0,0.1,4.9,0.0,0.0,,,5.0,0.0,0.0,12.2,,,,,,,,,,,,17.2,17.2,,,,,,,,,,,,,,,160,,79.0,,0.41,0.0,0.0,7.0,,310,1.9,,,,730,650,160.0,3,900.0,,4.9,0,0.0,35,0.0,35,6,,,,1.3,0.0,6.5,4.25,10.74,,0.4,,0.0,162,0,162,162,7,0.0,0,0.0,0,0.0,5.1,,,,,,,,5.07,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,3.2,1.21,0.0,0.0,1.4,0.53,,,0.7,0.26,,,0.0,0.0,,,0.0,0.0,5.3,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,25.8,9.74,12.3,4.64,25.2,9.52,,,63.3,23.9,,,,,19.4,7.33,12.1,4.57,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,,,31.5,11.9,0.0,0.0,,,0.0,0.0,0,0,53.0,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
