Product ID,Product Name,Land Use (m2/FU) (5th pctl),Land Use (m2/FU) (10th pctl),Land Use (m2/FU) (Mean),Land Use (m2/FU) (Median),Land Use (m2/FU) (90th pctl),Land Use (m2/FU) (95th pctl),GHG Emissions (kg CO2eq/FU) (5th pctl),GHG Emissions (kg CO2eq/FU) (10th pctl),GHG Emissions (kg CO2eq/FU) (Mean),GHG Emissions (kg CO2eq/FU) (Median),GHG Emissions (kg CO2eq/FU) (90th pctl),GHG Emissions (kg CO2eq/FU) (95th pctl),Acidifying Emissions (g SO2eq/FU) (5th pctl),Acidifying Emissions (g SO2eq/FU) (10th pctl),Acidifying Emissions (g SO2eq/FU) (Mean),Acidifying Emissions (g SO2eq/FU) (Median),Acidifying Emissions (g SO2eq/FU) (90th pctl),Acidifying Emissions (g SO2eq/FU) (95th pctl),Eutrophying Emissions (g PO43-eq/FU) (5th pctl),Eutrophying Emissions (g PO43-eq/FU) (10th pctl),Eutrophying Emissions (g PO43-eq/FU) (Mean),Eutrophying Emissions (g PO43-eq/FU) (Median),Eutrophying Emissions (g PO43-eq/FU) (90th pctl),Eutrophying Emissions (g PO43-eq/FU) (95th pctl),Freshwater Withdrawals (L/FU) (5th pctl),Freshwater Withdrawals (L/FU) (10th pctl),Freshwater Withdrawals (L/FU) (Mean),Freshwater Withdrawals (L/FU) (Mean).1,Freshwater Withdrawals (L/FU) (90th pctl),Freshwater Withdrawals (L/FU) (95th pctl),Stress-Weighted Water Use (L/FU) (5th pctl),Stress-Weighted Water Use (L/FU) (10th pctl),Stress-Weighted Water Use (L/FU) (Mean),Stress-Weighted Water Use (L/FU) (Median),Stress-Weighted Water Use (L/FU) (90th pctl),Stress-Weighted Water Use (L/FU) (95th pctl)
1,Wheat & Rye (Bread),0.98,1.11,3.85,2.7,7.87,9.96,0.72,0.79,1.58,1.28,2.38,3.11,5.85,6.68,13.35,13.28,20.24,25.03,1.02,2.27,7.16,5.37,13.41,18.15,2.2,2.2,647.5,419.2,1081,3368.5,2.7,4.5,33385.6,12821.7,54985.7,225767.7
2,Maize (Meal),0.99,1.14,2.94,1.84,5.7,9.01,0.67,0.74,1.68,1.19,2.3,3.53,5.63,5.93,11.68,10.15,20.89,22.83,1.2,1.31,4.03,2.4,8.12,12.58,0,0,215.7,43.9,530.8,598.3,0,0,10863.3,349.6,24375.4,28214.7
3,Barley (Beer),0.21,0.26,1.11,0.88,2.37,2.87,0.59,0.7,1.18,1.17,1.64,1.78,5.22,5.36,6.59,6.06,7.45,8.17,1.07,1.18,2.33,1.83,3.75,4.82,6.2,7,17.1,7,11.2,47.8,7.7,9.8,696.4,27.3,290.8,1620.9
4,Oatmeal,2.64,2.85,7.6,7.72,12.88,13.98,0.79,0.85,2.47,2.58,4.1,4.32,6.16,7.52,10.68,9.61,14.83,17.36,5.78,6.67,11.23,10.06,16.26,24.25,0,0,482.4,670.3,804.4,850,0,0,18786.2,24456.3,29352.2,31014.5
5,Rice,0.99,1.1,2.8,2.15,6.21,7.21,1.05,1.28,3.81,3.14,7.39,8.51,8.83,9.78,27.19,18.58,62.84,75.03,2.86,3.38,35.07,9.33,135.79,156.01,0,0.2,2248.4,1574.9,3936.1,10573.8,0,1.5,49576.3,4625.6,115317.4,191274.2
6,Potatoes,0.37,0.44,0.88,0.82,1.4,1.66,0.08,0.15,0.45,0.47,0.63,0.69,2.33,2.55,3.87,3.6,5.33,6.89,0.62,0.64,3.48,4.43,6.13,6.17,0,0.9,59.1,2.6,133.4,235.8,0,8.4,2754.2,78.3,8909.9,8977.9
7,Cassava,0.73,0.76,1.81,1.32,3.19,3.28,0.25,0.34,1.3,1.01,2.09,2.2,2.57,2.69,3.42,3.16,4.79,5.05,0.45,0.47,0.69,0.7,0.95,0.99,0,0,0,0,0,0,0,0,0,0,0,0
8,Cane Sugar,1.14,1.17,2.04,1.78,3.11,3.53,0.63,0.92,3.16,3.21,5.05,5.57,5.35,7.85,18.02,18.03,28.07,30.83,3.26,4.02,16.92,11.18,40.86,42.24,7.2,8.1,620.1,8.1,2519.7,3567.1,13.5,15.3,16438.6,15.3,34108.2,34890.8
9,Beet Sugar,1.11,1.19,1.83,1.52,3.09,3.29,1.04,1.2,1.8,1.75,2.41,2.65,4.38,4.38,12.62,12.37,18.32,20.55,2.1,2.1,5.41,4.33,14.11,16.85,10.3,12.1,217.7,12.1,506,1655.5,12.2,15,9493.3,115.1,22816,76242.2
10,Other Pulses,4.08,9.93,15.57,12.24,41.25,41.87,0.9,0.98,1.79,1.39,3.72,4,5.67,10.86,22.07,19,33.8,36.68,1.57,1.64,17.08,13.77,46.64,50.24,0,0,435.7,0,1250.1,2201.1,0,0,22477.4,0,45615.2,106154.3
11,Peas,2.28,2.77,7.46,6.73,14.19,20.47,0.51,0.56,0.97,0.8,1.67,1.87,3.21,3.6,8.49,10.28,10.87,11.06,0.74,0.75,7.52,1.68,33.62,33.66,0,0,396.6,0,3099.8,3584,0,0,27948.2,0,228332.1,263996.7
12,Nuts,4.15,4.49,12.96,8.73,26.59,26.59,-3.99,-3.68,0.37,-1.32,3.84,10.2,19.05,20.55,45.15,35.03,66.96,95.9,6.64,7.99,19.15,14.47,40.03,47.15,0,0,4133.8,1823.3,9106.9,11383.5,0,0,229889.8,129364.3,646134.5,807659.3
13,Groundnuts,4.22,4.67,9.11,7.87,15.38,15.38,1.41,1.62,3.18,3.26,5.78,6.11,10.08,10.43,22.62,16.44,55.66,56.84,5.73,5.77,14.14,17.13,19.72,20.96,54.3,694.1,1852.3,900.2,6524.7,6524.7,2377.3,2434.9,61797.9,44352.1,195134.9,195134.9
14,Soymilk,0.3,0.34,0.66,0.64,0.92,1.07,0.51,0.58,0.97,0.9,1.47,1.73,2.07,2.15,2.6,2.54,3.11,3.3,0.47,0.49,1.06,1.2,1.57,1.64,1.2,1.2,27.8,1.3,146.2,158.9,2.4,2.4,955.6,6.2,5300.7,5768.6
15,Tofu,1.57,1.77,3.52,3.41,4.94,5.87,1.39,1.6,3.14,2.57,5.47,7.19,4.99,5.13,6.7,6,9.04,9.85,2.9,2.92,6.16,6.64,9.09,10.32,6.1,6.3,148.6,6.6,777.7,864.4,12.4,12.4,5113.2,32.4,28226.9,31483.9
16,Soybean Oil,4.77,5.25,10.52,9.61,14.64,17.47,2.15,2.38,6.15,3.83,12.76,18.55,11.19,11.59,15.67,15.03,20.38,22.98,2.61,2.61,11.69,14.38,20.23,20.87,1.5,1.5,414.6,1.6,2244.5,2486.8,3,3,14888.2,7.8,81881.3,90940.7
17,Palm Oil,1.37,1.67,2.42,2.39,2.99,3.29,2.42,3.44,7.16,6.97,11.99,12.97,7.48,14.59,17.52,17.73,22.12,22.86,1.97,5.23,10.67,10.25,17.1,17.1,5.9,6.4,6.4,6.4,6.4,7.4,3.7,3.8,36.2,34.8,67.2,67.2
18,Sunflower Oil,7.5,8.37,17.66,16.3,27.04,29.69,2.16,2.43,3.59,3.54,4.61,4.94,10.44,10.82,27.96,19.29,61.2,67.23,10.06,11.72,50.66,18.91,175.68,175.68,2.9,2.9,1007.9,10.2,3841.4,4036.8,2.4,6.3,36369.4,236.7,158307.5,178518.6
19,Rapeseed Oil,5.01,5.22,10.63,9.42,19.04,20.97,2.24,2.49,3.76,3.53,4.7,7.48,14.65,15.09,28.51,23.19,49.5,61.1,6.42,7.17,19.19,16.36,35.45,55.74,1.4,1.4,237.7,1.4,763.7,777.6,1.8,2.8,10593.7,13.6,34754.9,35400.4
20,Olive Oil,7.85,7.85,26.31,17.29,36.32,36.32,2.14,2.88,5.25,5.04,7.72,10.7,18.78,27.47,37.58,33.89,57.92,61.96,5.78,17.09,37.26,39.11,56.34,61.19,8.5,8.5,2141.8,317.9,6907.5,6907.5,130.4,130.4,177480.2,24395.7,621151.5,621151.5
21,Tomatoes,0.07,0.09,0.8,0.17,0.93,5.62,0.37,0.39,2.01,0.65,5.17,12.28,2.89,3.21,17.21,5.21,67.95,83.38,0.62,0.78,7.51,1.92,32.1,39.51,32.6,48.3,369.8,77,1333.9,1993.9,270.4,384.7,5335.7,4480.7,8959.4,11842
22,Onions & Leeks,0.1,0.1,0.39,0.3,0.62,0.62,0.27,0.3,0.5,0.41,0.79,0.82,2.65,2.76,3.63,3.27,4.87,5,0.95,1.47,3.24,1.58,7.45,7.47,1.1,1.1,14.3,1.9,72.4,75.5,48.2,48.2,932,57,5007,5221.7
23,Root Vegetables,0.16,0.17,0.33,0.27,0.32,0.45,0.21,0.24,0.43,0.4,0.56,0.61,2.17,2.37,2.9,2.93,3.33,3.43,0.45,0.47,1.61,0.95,2.48,9.31,0,0,28.4,9.9,92.1,92.7,0,0,929.2,37.9,6785.4,6825.5
24,Brassicas,0.19,0.19,0.55,0.34,0.8,2.3,0.2,0.23,0.51,0.35,0.97,1.24,3.91,4.53,8.21,8.77,10.76,11.33,1.22,1.55,5.01,5.66,7.78,8.11,0,0,119.4,54.5,253.2,641.6,0,0,8455.1,2483.4,19799.1,60920.7
25,Other Vegetables,0.17,0.17,0.38,0.19,0.77,1.07,0.21,0.24,0.53,0.42,0.98,1.14,2.64,2.88,6.41,3.69,6.62,9.69,0.86,1.07,2.27,1.8,2.47,4.93,56.4,56.4,102.5,81.3,168.2,359.6,899.6,2568.2,4911.4,2939.5,11097.8,14549.2
26,Citrus Fruit,0.29,0.35,0.86,0.68,1.75,1.75,0.01,0.08,0.37,0.34,0.57,0.67,2.19,2.62,4.04,3.75,6.01,6.19,0.31,0.33,2.24,1.72,6.48,6.48,0,0,82.7,37.4,185.3,244.7,0,0,4662.7,1345.5,17560.6,21646.7
27,Bananas,0.22,0.28,1.93,1.39,2.99,9.44,0.55,0.61,0.86,0.83,1.19,1.3,4.1,4.48,6.35,6.09,8.56,9.96,1.54,1.72,3.29,2.13,5.84,6.43,0,0.4,114.5,1,320.2,376.2,0,0.6,661.9,31.3,1479.6,4675.5
28,Apples,0.3,0.31,0.63,0.51,0.99,1.02,0.26,0.29,0.42,0.41,0.56,0.59,1.81,2.05,3.52,3.96,4.47,4.59,0.38,0.47,1.45,1.96,2.03,2.05,0,0.7,180.1,114.5,584.8,584.8,0,26.4,12948.6,1024.7,52971.7,52971.7
29,Berries & Grapes,0.23,0.25,2.41,2.58,6.85,6.86,0.65,0.78,1.52,1.39,2.67,2.89,4.13,4.76,12.29,6.94,38.74,39.38,0.62,0.67,6.12,0.95,17.42,17.42,133.8,133.8,419.6,403.5,1026.6,1026.7,325.2,7866.5,21162.1,16245.1,43004.5,43006.5
