Public Food Key,Food Survey ID,Measure ID,Measure description 1,Measure description 2,Measure description 3,Measure description 4,Weight in grams,Volume in mLs,Derivation,Measure derivation description
F000996,29101,74551,can,,,,379.0,375,Estimated,Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount.
F000994,29101,74554,can,,,,379.0,375,Estimated,Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount.
F000995,29101,74972,can,,,,379.0,375,Estimated,Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount.
F001006,29102,74971,can,,,,379.0,375,Estimated,Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount.
F001004,29102,74558,can,,,,379.0,375,Estimated,Assumes 375mL based on FSANZ internet search. Volume multiplied by density to determine the gram amount.
F000051,29301,74560,shot,,,,28.8,30,Borrowed,Assumes 30 mL based on FSANZ internet research 2011. Volume multiplied by density to determine gram amount.
F002955,29401,74561,bottle,,,,398.0,394,Estimated,Based on the average bottle size of 7 commonly available apple ciders
F008402,11503,74562,can,,,,390.0,375,Estimated,Based on standard can size and density.
F008402,11503,74563,bottle,,,,624.0,600,Estimated,Based on standard bottle size multiplied by density.
F008403,11503,74564,can,,,,390.0,375,Estimated,Based on standard can size and density.
F008403,11503,74565,bottle,,,,624.0,600,Estimated,Based on standard bottle size multiplied by density.
F008404,11504,74567,bottle,,,,600.0,600,Estimated,Based on standard bottle size multiplied by density.
F008404,11504,74566,can,,,,375.0,375,Estimated,Based on standard can size and density.
F008405,11504,74568,can,,,,375.0,375,Estimated,Based on standard can size and density.
F008405,11504,74569,bottle,,,,600.0,600,Estimated,Based on standard bottle size multiplied by density.
F008421,11603,74570,can,,,,263.0,250,Label Data,Size of small Red Bull can available in 2017.  Volume multiplied by density to determine the gram amount.
F008424,11603,74571,can,,,,263.0,250,Label Data,Size of small V can available in April 2013.  Volume multiplied by density to determine the gram amount.
F008438,11501,74572,can,,,,390.0,375,Estimated,Based on standard can size multiplied by density.
F008438,11501,74573,bottle,,,,624.0,600,Estimated,Based on standard bottle size multiplied by density.
F008439,11502,74575,bottle,,,,600.0,600,Estimated,Based on standard bottle size multiplied by density.
F008439,11502,74574,can,,,,375.0,375,Estimated,Based on standard can size multiplied by density.
F008460,11501,74576,bottle,,,,309.0,300,Estimated,Based on standard bottle size multiplied by density.
F008461,11502,74577,bottle,,,,300.0,300,Estimated,Based on standard bottle size multiplied by density.
F003095,13101,74578,cone,medium,,all brands,4.0,0,Imputed,"From AUSNUT 2007 record 02C20219 Cone, wafer style, for ice cream"
F001420,12302,74580,flat bread or pita bread,round,regular,,66.0,0,Label Data,Size of regular sized Mission Pita Bread
F001420,12302,74579,mountain bread,rectangle,regular,,25.0,0,Label Data,Size of white mountain bread available in 2012.
F001404,12302,74582,mountain bread,rectangle,regular,,25.0,0,Label Data,Size of wholemeal mountain bread available in 2012.
F001404,12302,74581,flat bread or pita bread,round,regular,,66.0,0,Imputed,Size of regular sized Mission Pita Bread
F001463,12201,74587,slice,sandwhich,,,33.0,0,Estimated,"Weighted mean of 19 brands of regular white sandwich bread available in 2013, excludes Helga's"
F001541,12201,74589,slice,sandwhich,,,27.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001466,12202,74591,slice,sandwhich,,,35.0,0,Imputed,"From AUSNUT 2007 record 02B10294 Bread, from white flour, added calcium"
F001467,12202,74593,slice,sandwhich,,,29.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001468,12202,74595,slice,sandwhich,,,36.0,0,Imputed,"From AUSNUT 2007 record 02B10216 Bread, from white flour, added fibre"
F001479,12202,74597,slice,sandwhich,,,30.0,0,Estimated,Calculated from fresh weight assuming -16% weight change factor
F001482,12202,74599,slice,sandwhich,,,27.0,0,Imputed,"From AUSNUT 2007 record 02B10308 Bread, from wholemeal flour, added iron"
