Recipe Public Food Key,Food Name,Total Weight Change (%),Public Food Key,Ingredient Weight (g),Retention Factor ID
F000247,"Baking powder, dry powder",0.0,F003250,50.0,0
F000247,"Baking powder, dry powder",0.0,F000248,25.0,0
F000247,"Baking powder, dry powder",0.0,F003989,15.0,0
F000247,"Baking powder, dry powder",0.0,F003998,10.0,0
F009571,"Wine, red",0.0,F009577,50.0,0
F009571,"Wine, red",0.0,F009572,30.0,0
F009571,"Wine, red",0.0,F009574,10.0,0
F009571,"Wine, red",0.0,F009575,10.0,0
F009581,"Wine, white",0.0,F009582,60.0,0
F009581,"Wine, white",0.0,F009586,5.0,0
F009581,"Wine, white",0.0,F009584,15.0,0
F009581,"Wine, white",0.0,F009583,20.0,0
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",0.0,F001029,20.0,0
F001068,"Beverage, chocolate flavour, from Milo powder, with regular fat cows milk",0.0,F005634,205.0,0
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",0.0,F005634,203.0,2151
F001064,"Beverage, chocolate flavour, from drinking chocolate, with regular fat cows milk",0.0,F001036,15.0,0
F003017,"Coffee, black, from instant coffee powder",0.0,F003060,1.7,0
F003017,"Coffee, black, from instant coffee powder",0.0,F009527,190.0,0
F003018,"Coffee, black, from instant coffee powder, decaffeinated",0.0,F003061,1.7,0
F003018,"Coffee, black, from instant coffee powder, decaffeinated",0.0,F009527,190.0,0
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",0.0,F003041,50.0,0
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",0.0,F001036,1.0,0
F003036,"Coffee, cappuccino, from ground coffee beans, with regular fat cows milk",0.0,F005634,155.0,2151
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",0.0,F003041,50.0,0
F003048,"Coffee, flat white or latte, from ground coffee beans, with regular fat cows milk",0.0,F005634,206.0,2151
F003065,"Coffee, long black, from ground coffee beans",0.0,F003041,20.0,0
F003065,"Coffee, long black, from ground coffee beans",0.0,F009527,80.0,0
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",0.0,F003130,61.0,0
F003158,"Cordial, 25% citrus fruit juice, regular, recommended dilution",0.0,F009527,200.0,0
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",0.0,F003135,61.0,0
F003160,"Cordial, 40% citrus fruit juice, regular, recommended dilution",0.0,F009527,200.0,0
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution",0.0,F003128,43.56,0
F003156,"Cordial, 25% blackcurrant juice, regular, recommended dilution",0.0,F009527,167.0,0
F004726,"Juice, lemon",0.0,F005174,100.0,270
F004729,"Juice, lime",0.0,F005199,100.0,270
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F001971,125.0,5019
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F002987,56.0,2203
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F006143,95.0,352
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F004007,140.0,301
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F008976,266.0,0
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F000248,5.0,0
F001165,"Biscuit, sweet, Anzac style, homemade from basic ingredients",-6.0,F009527,20.0,0
F001683,"Breadcrumbs, white",-33.0,F001463,99.0,306
F001683,"Breadcrumbs, white",-33.0,F006155,0.8,5019
F001541,"Bread, from white flour, toasted",-16.0,F001463,100.0,306
F001467,"Bread, from white flour, added calcium, toasted",-14.0,F001466,100.0,306
F001479,"Bread, from white flour, added fibre, toasted",-16.0,F001468,100.0,306
F001483,"Bread, from white flour, added iron, toasted",-14.0,F001482,100.0,306
F001485,"Bread, from white flour, added omega-3 polyunsaturates, toasted",-14.0,F001484,100.0,306
F001544,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",-15.0,F001543,100.0,306
F001529,"Bread, from white flour, Italian-style, commercial, toasted",-16.0,F001528,100.0,306
F001358,"Bread roll, from white flour, toasted",-14.0,F001353,100.0,306
F001372,"Bread roll, topped with cheese",0.0,F002414,20.0,1
F001372,"Bread roll, topped with cheese",0.0,F001353,80.0,0
F001373,"Bread roll, topped with cheese & bacon",0.0,F002414,20.0,1
